EType	EDescr
2048	IPv4
2054	ARP
2114	Wake-on-LAN
8944	AVTP
8947	TRILL
8938	SRP
24578	DEC MOP RC
24579	DECnetIV
24580	DECLAT
32821	RARP
32923	AppleTalk
33011	AppleARP
33024	802.1Q/802.1aq
33026	SLPP
33027	VLACP
33079	IPX
33284	QNX
34525	IPv6
34824	EtherPAUSE
34825	LACP
34841	CobraNet
34887	MPLSuni
34888	MPLSmulti
34915	PPPoED
34916	PPPoES
34939	HomePlug
34958	802.1X
34962	PROFINET
34970	HyperSCSI
34978	ATAoE
34980	EtherCAT
34984	S-Tag_on_Q-in-Q
34987	Ethernet_Powerlink
35000	GOOSE
35001	GSE
35002	SV
35007	MikroTikRoMON
35020	LLDP
35021	SERCOS_III
35041	HomePlug
35043	IEC62439-2
35045	MACsec
35047	802.1ah
35063	PTP
35064	NC-SI
35067	PRP
35074	802.1ag
35078	FCoE
35092	FCoE_init
35093	RoCE
35101	TTE
35130	IEEE_1905.1 
35119	HSR
36864	ECTP
61889	802.1CB
